zip,population,race_white,race_black,race_native,race_asian,race_other,race_hispanic
1026,946,0.967230444,0.003171247,0,0.002114165,0.003171247,0.014799154
1027,17660,0.919309173,0.009173273,0.001812005,0.021857305,0.000849377,0.035107588
10271,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0
1028,15720,0.929516539,0.013486005,0.000572519,0.023918575,0.001017812,0.022709924
10280,7853,0.638736788,0.027378072,0.000509359,0.222844773,0.002164778,0.0785687
10282,4783,0.72402258,0.021952749,0.000418148,0.134643529,0.005854066,0.081120636
1029,789,0.970849176,0.002534854,0.001267427,0.006337136,0,0.007604563
1030,11669,0.935898535,0.0089982,0.001028366,0.012340389,0,0.032564916
10301,39706,0.439102403,0.217196393,0.002291845,0.065582028,0.003173324,0.248501486
10302,19088,0.334503353,0.184094719,0.002567058,0.040496647,0.004400671,0.413453479
10303,26337,0.189543228,0.335611497,0.002468011,0.076925998,0.003531154,0.371340699
10304,42193,0.376887161,0.265280971,0.002275259,0.094328443,0.003152182,0.241888465
10305,41749,0.664710532,0.036312247,0.001604829,0.107140291,0.002730604,0.172291552
10306,55909,0.803090737,0.017349622,0.001323579,0.044965927,0.001126831,0.121661986
10307,14096,0.878192395,0.005604427,0.000567537,0.02454597,0.001418842,0.080235528
10308,27357,0.875534598,0.00383814,0.000621413,0.028621559,0.00127938,0.081368571
10309,32519,0.852578493,0.020511086,0.000276761,0.037885544,0.001814324,0.079461238
1031,1308,0.954892966,0.008409786,0.005351682,0.000764526,0,0.021406728
10310,24962,0.418395962,0.204711161,0.002323532,0.054562936,0.002163288,0.299415111
10311,0,0,0,0,0,0,0
10312,59304,0.846721975,0.008346823,0.000843113,0.053824363,0.000961149,0.080719682
10314,85510,0.67933575,0.037434218,0.001298094,0.133458075,0.002221962,0.12991463
1032,570,0.970175439,0.003508772,0.003508772,0.003508772,0,0.005263158
1033,6227,0.951983299,0.003693592,0.002087683,0.010920186,0.000642364,0.020876827
1034,2021,0.958436418,0.004948046,0.004948046,0.002968827,0,0.017318159
1035,5250,0.894285714,0.018285714,0.00152381,0.04,0.000952381,0.031047619
1036,5109,0.954785672,0.004893326,0.000587199,0.013701311,0.001370131,0.014679977
1037,838,0.95823389,0.009546539,0.001193317,0.002386635,0,0.016706444
1038,2545,0.967387033,0.003929273,0.001178782,0.005500982,0.001571709,0.01611002
1039,1336,0.961077844,0.003742515,0,0.010479042,0,0.017215569
1040,39880,0.467678034,0.024097292,0.001078235,0.010080241,0.001529589,0.484277834
10451,45713,0.020147442,0.354975609,0.002187562,0.014284777,0.003718855,0.593879203
10452,75371,0.01328097,0.277892027,0.002029958,0.012630853,0.004365074,0.68100463
10453,78309,0.013025323,0.302455656,0.002170887,0.011710021,0.003269101,0.659196261
10454,37337,0.018533894,0.23111123,0.001901599,0.004419209,0.002597959,0.734981386
10455,39665,0.013992185,0.223244674,0.00153788,0.005017018,0.002168158,0.748165889
10456,86547,0.013091153,0.401342623,0.00277306,0.009035553,0.00295793,0.562018325
10457,70496,0.01614276,0.300513504,0.002000113,0.015022129,0.005106673,0.65166818
10458,79492,0.105042017,0.198384743,0.002327278,0.038557339,0.007145373,0.637548433
10459,47308,0.011372284,0.269447028,0.002219498,0.007250359,0.002917054,0.699141794
10460,57311,0.025021375,0.273664741,0.002774337,0.013103942,0.004728586,0.67212228
10461,50502,0.427745436,0.062373767,0.00198012,0.104015683,0.007722466,0.383826383
10462,75784,0.150625462,0.243019635,0.002942574,0.106895915,0.009659031,0.466668426
10463,67970,0.355465647,0.11940562,0.001353538,0.042268648,0.003678093,0.464410769
10464,4534,0.749889722,0.031098368,0.002426114,0.030877812,0.003528893,0.17071019
10465,42230,0.510513853,0.073952167,0.001823348,0.029505091,0.004807009,0.369784513
10466,67813,0.029507617,0.683453025,0.004232227,0.022237624,0.013684692,0.228967897
10467,97060,0.101535133,0.332742633,0.002956934,0.062827117,0.005326602,0.48074387
10468,76103,0.048723441,0.190623234,0.002023573,0.04411127,0.005164054,0.699841005
10469,66631,0.131020096,0.55144002,0.00312167,0.040236527,0.006153292,0.25291531
10470,15293,0.424573334,0.33328974,0.003857974,0.03557183,0.014974171,0.167462238
10471,22922,0.631053137,0.087426926,0.001090655,0.05802286,0.003751854,0.201465841
10472,66358,0.022242985,0.234696645,0.003707164,0.059239278,0.018324844,0.646297357
10473,58519,0.020557426,0.361626139,0.00300757,0.015208736,0.005980963,0.581725593
10474,12281,0.013028255,0.262763619,0.002361371,0.005455582,0.002768504,0.707108542
10475,40931,0.094915834,0.586474799,0.002296548,0.012020229,0.0028829,0.285113972
1050,2530,0.959683794,0.001976285,0.001976285,0.001581028,0,0.020158103
10501,1219,0.89171452,0.004922067,0.000820345,0.029532404,0,0.062346185
10502,5487,0.741206488,0.021687625,0,0.155276107,0.003827228,0.063240386
10503,108,0.925925926,0.009259259,0,0.046296296,0,0.018518519
10504,7987,0.890071366,0.005759359,0.000125203,0.048578941,0.002003255,0.042569175
